,Fecha_Producción,ID_Bobina,Heat_No,Grado_Acero,Espesor_mm,Ancho_mm,Peso_kg,Posición_Muestra,Orientación,Tamaño_Probeta,Tipo_Entalla,Temp_Ensayo_C,Energía_J,Tipo_Fractura,%Shear,Operador,Máquina,Fecha_Calibración,Norma,C_%,Mn_%,Si_%,P_%,S_%
0,2024-01-02,20240102-01,HN4346,DC01,2.04,1000,24916.0,Inicio,T,10x10x55,U,-20,66.2,Mixta,99,María,MCH-03,2023-06-06,ISO 148-1,0.082,0.487,0.016,0.017,0.018
1,2024-01-02,20240102-01,HN4346,DC01,2.04,1000,24916.0,Final,T,10x10x55,U,0,80.6,Frágil,90,Juan,MCH-03,2023-09-24,ISO 148-1,0.082,0.487,0.016,0.017,0.018
2,2024-01-02,20240102-02,HN8366,DP600,5.45,1500,19890.0,Inicio,L,10x10x55,U,20,71.5,Dúctil,81,Ana,MCH-01,2023-10-20,ASTM E23,0.117,1.739,0.354,0.015,0.008
3,2024-01-02,20240102-02,HN8366,DP600,5.45,1500,19890.0,Final,L,10x10x55,V,-20,82.3,Mixta,58,Carlos,MCH-02,2023-10-18,ISO 148-1,0.117,1.739,0.354,0.015,0.008
4,2024-01-02,20240102-03,HN6239,S235JR,0.8,1250,18691.0,Inicio,T,10x10x55,V,-40,110.9,Frágil,15,Ana,MCH-01,2023-08-04,ISO 148-1,0.138,0.519,0.118,0.019,0.008
5,2024-01-02,20240102-03,HN6239,S235JR,0.8,1250,18691.0,Final,T,10x10x55,U,20,143.7,Dúctil,88,Carlos,MCH-02,2023-06-12,ASTM E23,0.138,0.519,0.118,0.019,0.008
6,2024-01-02,20240102-04,HN4678,DC06_IF,4.17,1250,24231.0,Inicio,T,10x10x55,U,20,60.4,Frágil,82,María,MCH-03,2023-05-31,ISO 148-1,0.001,0.269,0.011,0.011,0.014
7,2024-01-02,20240102-04,HN4678,DC06_IF,4.17,1250,24231.0,Final,T,10x10x55,V,-40,41.9,Frágil,67,Juan,MCH-03,2023-06-11,ASTM E23,0.001,0.269,0.011,0.011,0.014
8,2024-01-02,20240102-05,HN5874,DC06_IF,5.99,1250,22634.0,Inicio,T,10x10x55,V,0,69.2,Frágil,19,María,MCH-01,2023-05-12,ASTM E23,0.004,0.269,0.005,0.02,0.008
9,2024-01-02,20240102-05,HN5874,DC06_IF,5.99,1250,22634.0,Final,L,10x10x55,V,-40,50.7,Frágil,33,Ana,MCH-02,2023-04-28,ASTM E23,0.004,0.269,0.005,0.02,0.008
